node1,node2,timestamp
31,92,1
1,87,6
83,96,6
52,60,8
41,80,9
42,48,9
58,70,10
17,28,11
31,58,12
29,78,12
8,16,13
9,90,15
22,28,16
71,76,16
27,54,17
50,64,18
20,92,20
9,80,22
71,98,22
13,47,23
13,50,25
68,78,25
25,57,27
35,47,28
30,51,29
24,59,30
59,61,30
31,76,30
70,100,30
25,83,31
50,52,33
92,96,33
31,52,35
9,32,35
11,95,36
14,23,37
23,80,38
7,59,44
44,72,45
47,64,45
17,79,47
10,89,48
1,70,49
41,42,49
30,46,49
7,78,49
38,54,50
52,64,53
32,93,53
31,46,54
41,97,55
16,46,57
33,64,57
44,78,57
26,55,60
9,80,62
48,88,62
3,16,63
6,41,63
85,86,64
19,42,65
39,61,66
22,44,66
55,79,67
14,91,67
72,99,68
19,67,69
68,98,69
17,54,70
51,52,70
72,92,70
27,73,71
8,9,72
25,60,73
36,41,73
48,79,73
13,58,74
29,47,74
42,80,75
25,97,75
10,48,76
33,40,77
34,87,79
10,45,81
58,93,81
20,98,81
16,59,85
56,81,85
60,71,85
9,40,86
22,91,86
44,66,87
7,72,88
20,54,89
35,77,89
4,27,90
29,41,91
44,56,91
46,84,93
81,99,93
8,82,94
48,85,95
28,70,96
27,34,96
5,40,98
16,71,98
4,92,98
47,87,100
19,53,101
6,99,101
42,65,102
34,43,103
67,91,103
85,96,103
38,65,105
16,47,108
32,87,108
9,43,108
54,77,109
1,9,111
20,82,113
9,23,113
50,67,113
10,50,114
69,72,114
44,95,114
44,77,116
42,72,117
23,82,121
70,77,121
51,61,125
36,78,126
25,68,127
30,85,130
44,67,131
21,91,131
31,57,132
41,93,132
36,57,133
64,91,134
9,38,135
7,67,135
51,98,136
24,41,138
54,69,138
24,99,139
47,91,141
2,46,143
63,78,144
13,85,145
3,81,147
9,79,149
10,16,149
46,64,149
20,89,150
10,21,150
17,91,153
31,71,153
28,85,153
46,89,155
27,41,157
30,93,158
11,58,160
61,96,160
13,34,162
17,92,163
28,47,164
33,67,169
19,72,170
83,96,171
19,54,172
29,47,173
8,49,173
32,40,175
9,38,176
66,73,176
20,48,179
9,71,179
79,92,179
27,93,180
29,36,180
12,58,181
55,70,181
34,49,184
72,99,184
29,77,185
6,62,186
23,25,187
27,34,187
60,80,187
60,80,188
28,61,189
52,77,191
25,78,192
45,55,192
35,66,193
31,44,193
23,28,194
28,46,194
50,79,195
56,62,197
33,62,198
52,60,199
21,94,199
21,85,200
31,92,200
41,64,201
1,93,202
12,38,203
69,77,203
13,47,204
48,49,205
62,68,205
72,95,206
31,70,207
2,8,209
41,56,209
15,31,210
14,61,210
30,79,211
52,91,211
11,24,212
16,50,214
5,71,214
76,86,214
1,41,218
3,36,218
31,48,219
48,83,219
19,61,219
20,70,219
7,31,222
76,81,222
59,92,222
59,72,223
34,88,223
1,76,227
6,95,228
2,15,229
19,50,229
21,57,229
44,57,230
36,44,231
33,77,231
27,99,232
7,95,234
1,91,234
18,34,235
18,42,237
78,79,239
8,89,242
1,26,243
93,100,243
18,95,244
71,93,244
40,63,246
11,80,247
7,9,248
39,84,248
14,91,249
49,62,249
24,92,250
42,56,251
32,89,252
62,63,253
32,96,254
52,95,255
56,95,257
24,79,258
34,88,258
19,51,261
79,82,261
23,84,262
11,50,263
51,99,263
13,16,264
19,68,264
7,70,265
15,61,265
72,87,266
44,85,268
76,95,269
8,66,270
18,30,270
5,32,270
33,73,270
40,100,270
35,52,272
47,95,272
2,96,273
13,60,274
51,79,274
52,70,277
76,89,278
76,78,281
8,72,282
44,74,284
52,70,284
24,29,285
24,48,286
85,88,286
17,25,289
59,91,290
39,92,290
74,98,290
33,78,292
56,76,292
52,70,293
41,99,293
8,99,294
15,30,294
25,86,295
72,82,295
16,61,297
6,29,298
47,98,298
42,54,299
30,99,300
16,84,301
33,91,302
35,98,302
18,64,303
20,79,303
39,55,303
12,64,303
24,30,304
60,86,304
43,94,306
23,51,307
33,61,308
51,96,310
15,61,310
70,72,312
7,27,313
7,32,314
80,89,318
22,54,319
27,60,320
18,31,321
32,42,323
15,71,324
28,34,325
5,64,325
4,18,326
76,92,326
26,62,327
7,43,328
17,25,328
48,56,329
9,42,331
62,98,331
19,92,331
32,76,332
39,64,333
48,58,334
80,89,334
60,91,334
37,99,334
14,27,335
30,37,337
27,38,338
42,63,338
52,79,338
34,82,339
32,92,339
13,73,340
32,87,345
1,50,345
76,90,345
98,99,345
45,94,346
8,94,348
27,43,350
29,60,350
48,67,351
27,28,352
22,62,352
3,22,353
83,85,353
29,49,357
39,62,358
7,47,360
30,83,361
69,98,363
46,79,364
16,29,368
6,31,370
33,51,371
14,87,374
20,28,374
64,77,374
57,100,374
1,16,375
28,55,375
34,47,377
73,91,377
25,64,378
28,86,379
18,58,380
77,86,380
13,25,381
8,9,382
27,67,382
49,62,383
57,64,383
9,86,383
2,92,383
11,69,384
3,19,386
17,51,386
13,27,388
51,81,388
80,91,388
3,49,392
8,14,393
34,37,393
71,76,395
30,50,396
39,70,396
47,79,396
15,21,398
20,93,399
52,85,401
4,91,403
7,21,404
16,95,404
41,96,406
58,89,407
51,96,407
1,86,408
75,95,408
8,64,411
18,86,413
27,32,413
17,76,413
2,74,414
2,5,415
82,84,415
36,77,417
18,51,418
27,82,421
7,46,423
9,58,423
29,43,423
32,54,423
9,34,423
41,62,424
43,49,428
52,90,428
55,70,428
27,82,429
66,76,429
27,82,430
1,82,430
24,37,431
3,44,432
39,46,433
7,72,435
14,39,435
34,38,435
42,92,436
8,83,437
1,63,437
43,57,442
18,23,443
9,33,444
34,64,444
29,77,445
35,37,446
11,25,449
88,89,450
6,41,451
7,9,453
23,73,453
72,92,454
