node1,node2,timestamp
35,44,1
77,78,1
8,100,2
46,79,2
5,27,3
6,60,5
15,33,7
81,88,8
13,31,9
17,27,9
46,100,12
1,3,13
32,55,13
96,97,14
2,77,15
26,47,15
35,91,15
44,53,15
75,83,15
36,95,15
34,38,16
36,86,18
2,87,18
35,65,20
26,39,20
10,86,21
49,66,21
1,44,24
6,55,24
19,85,24
55,93,26
19,43,27
60,80,27
3,17,28
26,86,28
53,62,30
25,95,30
10,13,31
60,61,32
4,76,33
18,77,33
23,28,33
66,96,33
39,90,34
7,52,34
22,23,35
14,73,35
43,53,36
2,65,37
11,81,38
38,63,39
47,82,41
21,58,43
5,74,43
37,54,44
2,60,45
26,70,46
72,89,46
23,87,51
97,98,52
46,60,53
63,69,53
28,50,54
33,46,56
6,48,57
54,64,57
54,62,58
45,65,58
11,39,59
3,55,59
5,71,63
16,82,63
9,29,64
26,62,66
34,37,67
48,55,67
9,20,68
24,62,68
4,41,69
54,85,69
11,78,71
6,91,71
50,60,72
37,100,74
59,62,74
69,85,74
19,89,77
4,21,77
24,58,77
49,64,79
87,94,80
1,6,82
2,77,84
23,79,84
20,27,86
24,74,86
4,5,90
9,43,90
28,91,90
29,44,92
46,76,92
51,63,92
55,88,92
50,51,93
45,61,95
43,53,97
52,62,99
40,57,100
10,86,101
69,79,101
47,70,102
20,92,102
87,96,103
65,97,105
95,97,105
42,64,106
10,46,107
42,82,107
32,42,108
32,82,108
7,41,109
53,85,109
18,86,109
1,39,110
33,61,110
23,86,110
30,36,111
66,91,111
39,40,112
9,87,112
24,54,114
50,53,114
62,93,116
48,71,116
33,43,117
35,86,117
89,100,117
47,69,118
11,97,119
8,50,120
1,26,121
38,82,121
61,79,121
28,56,123
41,88,124
21,87,124
69,74,127
3,46,129
7,60,129
77,87,129
27,41,131
19,46,132
16,53,132
5,76,134
10,37,135
8,17,139
62,79,139
3,46,140
19,41,142
26,29,142
9,90,143
49,94,143
28,56,146
8,69,147
41,99,147
6,80,148
20,75,149
28,65,150
17,24,152
2,33,154
1,39,154
53,62,154
26,70,154
85,99,154
28,61,158
19,39,158
4,44,158
66,86,159
39,51,161
63,79,161
95,98,163
9,17,165
47,56,165
37,94,166
55,91,167
23,59,168
14,87,168
18,77,169
33,91,169
45,51,169
15,72,169
61,82,173
32,38,175
70,73,175
71,92,178
18,62,181
7,70,181
18,77,181
20,76,182
4,34,183
5,35,184
42,66,184
23,46,185
29,82,185
29,85,186
3,69,189
11,37,191
76,88,191
3,15,193
18,62,193
62,84,195
11,66,198
28,83,198
11,39,198
52,75,198
1,44,199
65,69,200
46,95,202
28,46,204
21,64,204
45,88,204
51,94,205
8,91,205
12,75,207
63,97,212
53,87,212
43,95,213
41,52,214
4,42,214
57,88,214
30,78,215
3,99,216
44,62,216
58,85,217
69,87,217
2,12,219
30,63,219
41,51,219
66,91,219
42,79,219
10,38,220
37,44,222
6,52,224
40,55,224
63,79,225
89,94,226
4,55,229
23,38,230
21,55,232
6,79,232
30,79,235
55,72,235
36,60,236
21,58,237
19,25,241
21,46,243
28,30,245
55,81,247
77,98,249
31,94,249
11,46,250
4,89,250
53,54,251
70,77,251
2,25,252
69,89,253
30,71,255
85,93,255
56,79,256
8,97,256
10,29,257
85,90,257
62,87,257
33,34,259
34,50,259
69,77,259
44,56,261
4,45,261
13,85,262
88,91,262
9,66,263
44,60,265
53,87,266
19,88,266
19,94,267
12,87,269
17,50,270
54,97,271
1,85,272
28,30,272
35,54,272
19,76,273
28,99,279
8,41,280
28,30,282
19,62,283
39,95,285
60,81,286
64,70,288
30,83,288
50,55,293
70,97,295
61,92,296
2,55,299
28,89,299
20,50,300
50,51,300
6,19,301
29,42,301
20,31,302
24,39,303
46,89,305
10,65,306
46,76,306
37,53,306
2,79,308
18,27,308
39,97,308
39,94,309
76,86,311
4,52,312
2,51,312
45,83,313
77,83,313
19,30,314
37,96,314
50,76,315
37,65,316
55,70,316
21,82,318
48,70,318
29,86,318
64,92,319
7,86,320
8,72,320
2,47,320
60,95,321
7,8,322
37,63,325
35,38,325
5,39,325
53,80,325
8,100,326
28,89,326
9,35,327
58,66,327
4,87,327
4,6,329
9,45,330
49,62,331
4,77,331
34,85,331
4,85,334
10,61,335
50,57,336
1,21,338
3,17,338
24,55,338
41,82,338
28,63,339
51,81,340
9,52,340
4,39,341
64,73,341
38,83,342
24,90,344
7,38,344
7,41,344
55,62,344
30,56,345
20,59,345
40,53,346
45,48,349
46,100,349
39,65,349
86,87,350
8,53,351
59,87,351
25,46,353
55,98,353
15,85,353
91,96,355
20,36,357
29,42,357
46,92,357
11,79,357
8,11,359
35,38,359
36,77,361
43,82,361
1,40,362
11,81,363
15,80,363
26,95,364
31,77,366
96,100,366
55,75,368
30,39,369
16,66,370
25,36,372
23,43,375
6,74,375
63,75,376
47,59,378
17,28,379
6,25,380
11,64,380
26,70,381
40,86,382
6,79,385
38,59,386
19,50,386
15,78,388
33,42,388
18,58,388
10,74,389
6,88,392
8,41,393
40,45,393
16,99,393
2,9,394
44,97,394
53,65,395
8,30,399
24,99,399
42,78,399
3,62,399
15,75,402
12,76,402
75,85,402
6,38,404
28,47,405
52,85,405
61,88,405
19,66,407
21,39,408
19,51,409
41,55,409
15,59,409
63,70,409
30,70,410
20,76,412
24,94,413
69,75,413
1,25,414
8,16,414
3,35,414
58,94,414
37,91,414
47,79,415
19,66,416
57,88,416
21,55,419
62,69,419
38,81,420
10,84,423
8,30,424
34,66,424
66,98,425
11,55,426
33,63,426
11,40,427
53,65,427
53,90,428
6,14,429
63,74,429
37,73,430
38,98,430
30,33,432
22,53,434
50,62,434
66,92,434
46,73,436
33,53,437
25,99,437
59,75,438
39,79,438
64,72,441
69,82,441
41,58,442
7,16,443
35,96,443
31,64,445
21,66,445
82,99,447
64,78,450
44,100,451
42,50,452
24,86,452
10,35,454
15,45,454
19,62,454
27,86,454
46,64,455
55,72,455
46,96,455
12,49,457
26,97,457
33,44,458
86,100,458
26,27,459
15,23,462
6,50,463
11,60,464
42,48,464
56,75,465
28,79,465
1,28,469
10,61,469
14,86,469
30,77,471
48,69,471
12,27,472
59,85,472
8,30,473
43,69,473
43,51,474
2,37,475
28,100,475
69,76,475
22,33,476
28,95,478
65,75,478
