node1,node2,timestamp
33,83,1
49,73,2
32,61,3
20,95,4
34,61,4
60,84,4
21,66,6
26,99,6
69,79,7
31,38,8
14,92,9
60,79,9
45,48,10
44,63,10
47,88,12
13,65,13
12,78,16
79,86,18
15,37,19
4,22,19
1,23,21
28,86,21
47,67,23
65,96,23
14,63,27
29,70,28
66,69,30
5,77,31
4,45,32
3,16,32
27,59,32
68,81,33
63,76,33
19,71,34
41,42,34
18,62,34
66,99,34
14,50,35
28,30,35
25,99,37
92,93,39
10,17,40
41,89,42
1,36,43
38,75,43
55,75,43
35,96,43
17,89,44
81,90,44
65,97,45
29,84,46
74,79,48
5,66,50
7,77,51
60,85,52
40,98,52
4,45,53
36,44,53
16,90,54
63,74,54
15,77,56
81,93,57
16,67,61
45,70,63
39,98,63
28,41,64
20,77,66
49,79,66
2,91,67
52,96,67
15,98,68
12,29,69
27,81,72
61,91,72
2,43,73
40,50,73
75,99,73
31,45,74
14,84,74
2,79,76
33,86,76
86,98,76
3,31,77
45,65,78
6,46,79
22,26,83
18,91,84
48,64,84
60,79,84
4,49,86
13,14,87
21,44,87
49,66,88
70,90,88
49,67,89
10,82,90
13,90,90
63,79,91
22,44,95
52,71,97
7,43,98
12,84,98
23,44,99
18,92,99
25,31,102
32,86,102
9,52,103
2,7,104
27,47,104
1,31,106
48,57,106
66,91,107
44,69,107
27,65,108
60,63,109
38,48,110
22,99,111
12,73,112
24,45,112
43,93,112
5,20,113
60,63,113
75,93,113
7,43,116
18,100,117
42,46,119
37,38,120
28,44,121
36,90,121
17,85,123
38,40,126
23,40,126
49,59,126
64,87,126
3,89,127
27,96,128
29,54,131
53,93,132
29,83,134
33,82,136
18,25,138
21,95,139
10,71,140
60,80,140
20,98,140
11,23,141
34,93,141
48,77,141
6,65,141
20,28,142
63,86,142
47,80,142
60,72,143
17,75,143
83,91,143
52,85,144
12,61,145
14,42,145
10,88,146
45,66,147
12,62,148
31,67,148
38,47,150
30,48,150
83,86,153
20,38,154
42,71,155
67,74,156
4,32,157
35,98,157
26,98,158
13,19,159
4,34,160
5,57,160
48,99,162
65,90,162
20,28,163
2,92,164
39,83,165
35,92,166
66,79,167
9,12,168
26,92,168
65,67,169
9,17,170
44,85,170
10,34,171
44,72,173
82,86,173
6,86,174
6,32,174
